msoa_code,income_before_housing,income_after_housing,housing_cost,housing_cost_pct
W02000364,28.551,26.277,2.2739999999999974,8.0
W02000365,32.153,27.783,4.369999999999997,13.6
W02000366,40.195,37.54,2.655000000000001,6.6
W02000097,31.505,31.412,0.09299999999999997,0.3
W02000098,33.639,34.402,-0.7629999999999981,-2.3
W02000099,30.627,28.101,2.526,8.2
W02000100,32.076,31.673,0.40300000000000225,1.3
W02000101,33.496,33.836,-0.3399999999999963,-1.0
W02000102,31.858,32.643,-0.7850000000000001,-2.5
W02000103,30.756,33.029,-2.2730000000000032,-7.4
W02000104,30.028,30.566,-0.5380000000000003,-1.8
W02000105,28.849,26.102,2.747,9.5
W02000106,32.616,32.605,0.011000000000002785,0.0
W02000107,30.801,32.005,-1.2040000000000042,-3.9
W02000108,30.961,32.665,-1.7040000000000006,-5.5
W02000109,29.839,28.436,1.4029999999999987,4.7
W02000110,30.668,34.647,-3.978999999999999,-13.0
W02000111,34.029,34.702,-0.6729999999999947,-2.0
W02000113,35.508,32.712,2.7959999999999994,7.9
W02000114,38.432,38.231,0.2010000000000005,0.5
W02000414,36.466,36.44,0.026000000000003354,0.1
W02000416,31.494,31.113,0.3810000000000002,1.2
W02000284,30.139,26.817,3.321999999999999,11.0
W02000285,34.812,33.357,1.4549999999999983,4.2
W02000286,27.681,26.167,1.5139999999999993,5.5
W02000287,32.006,28.915,3.091000000000001,9.7
W02000288,28.311,26.434,1.876999999999999,6.6
W02000289,32.246,30.893,1.3530000000000015,4.2
W02000415,28.196,24.627,3.5690000000000026,12.7
